Antigen,Study,Clone,Cat_Number,Oligo_ID,TotalSeq_Cat,Vendor,Control,RRID,Lot,Custom_Antibody
CD19,Mimitou_2019,H1B19,NA,NA,NA,NA,FALSE,NA,NA,NA
CD19,Stoeckius_2017,HIB19,NA,NA,NA,BioLegend,FALSE,NA,NA,NA
CD19,10x29May2019,NA,NA,NA,B,BioLegend,FALSE,NA,NA,NA
CD19,10x7July2020,HIB19,NA,NA,C,BioLegend,FALSE,NA,NA,NA
CD19,10x19Nov2018,NA,NA,NA,B,BioLegend,FALSE,NA,NA,NA
CD19,10x24July2019,HIB19,NA,NA,C,BioLegend,FALSE,NA,NA,NA
CD19,10x19Nov2018-2,NA,NA,NA,C,BioLegend,FALSE,NA,NA,NA
CD19,10x24July2019-2,HIB19,NA,NA,C,BioLegend,FALSE,NA,NA,NA
CD19,Trzupek_2020,SJ25C1,NA,NA,NA,BD Biosciences,FALSE,NA,NA,NA
CD19,Wang_2020_PBMC,NA,NA,NA,A,BioLegend,FALSE,NA,NA,NA
CD192,PomboAntunes_2021,K036C2,357229,0242,A,BioLegend,FALSE,AB_2750501,NA,NA
CD192 (CCR2),Hao_2021,K036C2,357229,0242,A,BioLegend,FALSE,AB_2750501,NA,NA
CD192 (CCR2),Mimitou_2021,K036C2,357229,0242,A,BioLegend,FALSE,NA,NA,NA
CD193,PomboAntunes_2021,500000000,310729,0397,A,BioLegend,FALSE,AB_2783174,NA,NA
CD193 (CCR3),Hao_2021,5E8,310729,0397,A,BioLegend,FALSE,AB_2783174,NA,NA
CD193 (CCR3),Su_2020,5E8,310733,0397,C,NA,FALSE,NA,NA,NA
CD193 (CCR3),Liu_2021,5E+08,NA,0397,C,BioLegend,FALSE,NA,NA,NA
CD193 (CCR3),Mimitou_2021,500000000,NA,0397,A,BioLegend,FALSE,NA,NA,NA
CD193 (CCR3),Stephenson_2021,5E8,NA,NA,NA,BioLegend,FALSE,NA,NA,NA
CD194,PomboAntunes_2021,L291H4,359423,0071,A,BioLegend,FALSE,AB_2749979,NA,NA
CD194,Poch_2021,L291H4,359423,0071,NA,Biolegend,FALSE,AB_2749979,NA,NA
CD194,Buus_2021,L291H4,359425,0071,C,BioLegend,FALSE,AB_2800988,NA,NA
CD194,Mair_2020,1G1,NA,AHS0038,NA,BD Biosciences,FALSE,NA,NA,NA
CD194 (CCR4),Hao_2021,L291H4,359423,0071,A,BioLegend,FALSE,AB_2749979,NA,NA
CD194 (CCR4),Kotliarov_2020,L291H4,359423,0071,A,BioLegend,FALSE,AB_2749979,B263615,FALSE
CD194 (CCR4),Mimitou_2021,L291H4,359423,0071,A,BioLegend,FALSE,NA,NA,NA
CD194 (CCR4),Qian_2020,L291H4,359423,0071,A,BioLegend,FALSE,NA,NA,NA
CD194 (CCR4),Nathan_2021,L291H4,359423,0071,NA,NA,FALSE,AB_2749979,NA,NA
CD194 (CCR4),Liu_2021,L291H4,359425,0071,C,BioLegend,FALSE,AB_2800988,NA,NA
CD194 (CCR4),Stephenson_2021,L291H4,359425,0071,C,BioLegend,FALSE,NA,NA,NA
CD194 (CCR4),Su_2020,L291H4,359425,0071,C,NA,FALSE,NA,NA,NA
CD194 (CCR4),LeCoz_2021,L291H4,359425,0071,C,BioLegend,FALSE,NA,NA,NA
CD194 (CCR4),Kaufmann_2021,1G1,551121,NA,NA,BD,FALSE,NA,6355945,NA
CD194 (CCR4),Trzupek_2021,1G1,940047,NA,NA,BD Biosciences,FALSE,NA,NA,NA
CD194 (CCR4),Trzupek_2020,1G1,NA,NA,NA,BD Biosciences,FALSE,NA,NA,NA
CD194 (CCR4),Trzupek_2020,1G1,NA,NA,NA,BD Biosciences,FALSE,NA,NA,NA
CD194 (CCR4),Trzupek_2020,1G1,NA,NA,NA,BD Biosciences,FALSE,NA,NA,NA
CD194_CCR4,Lawlor_2021,NA,NA,NA,NA,BioLegend,FALSE,NA,NA,NA
CD195,Kotliarov_2020,J418F1,359135,0141,A,BioLegend,FALSE,AB_2749994,B263547,FALSE
CD195,PomboAntunes_2021,J418F1,359135,0141,A,BioLegend,FALSE,AB_2749994,NA,NA
CD195,Shangguan_2021,J418F1,359137,0141,C,BioLegend,FALSE,AB_2810570,NA,NA
CD195 (CCR5),Hao_2021,J418F1,359135,0141,A,BioLegend,FALSE,AB_2749994,NA,NA
CD195 (CCR5),Mimitou_2021,J418F1,359135,0141,A,BioLegend,FALSE,NA,NA,NA
CD195 (CCR5),Qian_2020,J418F1,359135,0141,A,BioLegend,FALSE,NA,NA,NA
CD195 (CCR5),Nathan_2021,J418F1,359135,0141,NA,NA,FALSE,AB_2749994,NA,NA
CD195 (CCR5),Liu_2021,J418F1,359137,0141,C,BioLegend,FALSE,AB_2810570,NA,NA
CD195 (CCR5),Stephenson_2021,J418F1,359137,0141,C,BioLegend,FALSE,NA,NA,NA
CD195 (CCR5),Su_2020,J418F1,359137,0141,C,NA,FALSE,NA,NA,NA
CD195 (CCR5),LeCoz_2021,J418F1,359137,0141,C,BioLegend,FALSE,NA,NA,NA
CD195 (CCR5),Trzupek_2021,2D7,940050,NA,NA,BD Biosciences,FALSE,NA,NA,NA
CD195_CCR5,Lawlor_2021,NA,NA,NA,NA,BioLegend,FALSE,NA,NA,NA
CD196,PomboAntunes_2021,G034E3,353437,0143,A,BioLegend,FALSE,AB_2750534,NA,NA
CD196,Buus_2021,G034E3,353440,0143,C,BioLegend,FALSE,AB_2810563,NA,NA
CD196,Kotliarov_2020,G034E3,custom made (similar to 95022),0143,A,BioLegend,FALSE,NA,B267316,TRUE
CD196,Mair_2020,11A9,NA,AHS0034,NA,BD Biosciences,FALSE,NA,NA,NA
CD196 (CCR6),Kaufmann_2021,G034E3,353401,NA,NA,BioLegend,FALSE,NA,B148881,NA
CD196 (CCR6),Hao_2021,G034E3,353437,0143,A,BioLegend,FALSE,AB_2750534,NA,NA
CD196 (CCR6),Mimitou_2021,G034E3,353437,0143,A,BioLegend,FALSE,NA,NA,NA
CD196 (CCR6),Qian_2020,G034E3,353437,0143,A,BioLegend,FALSE,NA,NA,NA
CD196 (CCR6),Nathan_2021,G034E3,353437,0143,NA,NA,FALSE,AB_2750534,NA,NA
CD196 (CCR6),Liu_2021,G034E3,353440,0143,C,BioLegend,FALSE,AB_2810563,NA,NA
CD196 (CCR6),Stephenson_2021,G034E3,353440,0143,C,BioLegend,FALSE,NA,NA,NA
CD196 (CCR6),Su_2020,G034E3,353440,0143,C,NA,FALSE,NA,NA,NA
CD196 (CCR6),LeCoz_2021,G034E3,353440,0143,C,BioLegend,FALSE,NA,NA,NA
CD196 (CCR6),Trzupek_2021,11A9,940033,NA,NA,BD Biosciences,FALSE,NA,NA,NA
CD196 (CCR6),Trzupek_2020,11A9,NA,NA,NA,BD Biosciences,FALSE,NA,NA,NA
CD196 (CCR6),Trzupek_2020,11A9,NA,NA,NA,BD Biosciences,FALSE,NA,NA,NA
CD196 (CCR6),Trzupek_2020,11A9,NA,NA,NA,BD Biosciences,FALSE,NA,NA,NA
CD196_CCR6,Lawlor_2021,NA,NA,NA,NA,BioLegend,FALSE,NA,NA,NA
CD197,Witkowski_2020,G043H7,353247,0148,A,BioLegend,FALSE,AB_2750357,B277726,NA
CD197,PomboAntunes_2021,G043H7,353247,0148,A,BioLegend,FALSE,AB_2750357,NA,NA
CD197,Stuart_2019,G043H7,353247,0148,NA,NA,FALSE,AB_2750357,NA,NA
CD197,Poch_2021,G043H7,353247,0148,NA,Biolegend,FALSE,AB_2750357,NA,NA
CD197,Buus_2021,G043H7,353251,0148,C,BioLegend,FALSE,AB_2800943,NA,NA
CD197,Shangguan_2021,G043H7,353251,0148,C,BioLegend,FALSE,AB_2800943,NA,NA
CD197,Mair_2020,3D12,NA,AHS0007,NA,BD Biosciences,FALSE,NA,NA,NA
CD197,10x29May2019,NA,NA,NA,B,BioLegend,FALSE,NA,NA,NA
CD197 (CCR7),Kaufmann_2021,G043H7,353202,NA,NA,BioLegend,FALSE,NA,B199725,NA
CD197 (CCR7),Arunachalam_2020,G043H7,353247,0148,A,BioLegend,FALSE,AB_2750357,NA,NA
CD197 (CCR7),Qian_2020,G043H7,353247,0148,A,BioLegend,FALSE,NA,NA,NA
CD197 (CCR7),Nathan_2021,G043H7,353247,0148,NA,NA,FALSE,AB_2750357,NA,NA
CD197 (CCR7),Lee_2021,G043H7,353251,0148,C,BioLegend,FALSE,AB_2800943,NA,NA
CD197 (CCR7),Liu_2021,G043H7,353251,0148,C,BioLegend,FALSE,AB_2800943,NA,NA
CD197 (CCR7),Su_2020,G043H7,353251,0148,C,NA,FALSE,NA,NA,NA
CD197 (CCR7),Trzupek_2021,3D12,940014,NA,NA,BD Biosciences,FALSE,NA,NA,NA
CD197 (CCR7),Kotliarov_2020,G043H7,custom made (similar to 95027),0148,A,BioLegend,FALSE,NA,B277726,TRUE
CD197 (CCR7),Stephenson_2021,G043H7,NA,NA,NA,BioLegend,FALSE,NA,NA,NA
CD197 (CCR7),Trzupek_2020,3D12,NA,NA,NA,BD Biosciences,FALSE,NA,NA,NA
CD197 (CCR7),Trzupek_2020,3D12,NA,NA,NA,BD Biosciences,FALSE,NA,NA,NA
CD197 (CCR7),Trzupek_2020,3D12,NA,NA,NA,BD Biosciences,FALSE,NA,NA,NA
CD197_CCR7,Lawlor_2021,NA,NA,NA,NA,BioLegend,FALSE,NA,NA,NA
CD198,PomboAntunes_2021,L263G8,360607,0900,A,BioLegend,FALSE,AB_2810572,NA,NA
CD199,PomboAntunes_2021,L053E8,358919,0843,A,BioLegend,FALSE,AB_2810569,NA,NA
CD199 (CCR9),Hao_2021,L053E8,358919,0843,A,BioLegend,FALSE,AB_2810569,NA,NA
CD199 (CCR9),Mimitou_2021,L053E8,358919,0843,A,BioLegend,FALSE,NA,NA,NA
CD1a,Hao_2021,HI149,300133,0402,A,BioLegend,FALSE,AB_2783146,NA,NA
CD1a,Witkowski_2020,HI149,300133,0402,A,BioLegend,FALSE,AB_2783146,B271405,NA
CD1a,PomboAntunes_2021,HI149,300133,0402,A,BioLegend,FALSE,AB_2783146,NA,NA
CD1a,Mimitou_2021,HI149,300133,0402,A,BioLegend,FALSE,NA,NA,NA
CD1a,Buus_2021,HI149,300135,0402,C,BioLegend,FALSE,AB_2814107,NA,NA
CD1a,Liu_2021,HI149,300135,0402,C,BioLegend,FALSE,AB_2814107,NA,NA
CD1a,Su_2020,HI149,300135,0402,C,NA,FALSE,NA,NA,NA
CD1a,Hao_2021,HI149,NA,NA,C,BioLegend,FALSE,NA,NA,NA
CD1a,Mimitou_2019,HI149,NA,NA,NA,NA,FALSE,NA,NA,NA
CD1a,Stephenson_2021,HI149,NA,NA,NA,BioLegend,FALSE,NA,NA,NA
CD1a,Trzupek_2020,HI149,NA,NA,NA,BD Biosciences,FALSE,NA,NA,NA
CD1a,Trzupek_2020,HI149,NA,NA,NA,BD Biosciences,FALSE,NA,NA,NA
CD1c,Fernandez_2020,L161,331502,NA,NA,BioLegend,FALSE,NA,NA,NA
CD1c,Hao_2021,L161,331539,0160,A,BioLegend,FALSE,AB_2734326,NA,NA
CD1c,Kotliarov_2020,L161,331539,0160,A,BioLegend,FALSE,AB_2734326,B259973,FALSE
CD1c,Witkowski_2020,L161,331539,0160,A,BioLegend,FALSE,AB_2734326,B271540,NA
CD1c,PomboAntunes_2021,L161,331539,0160,A,BioLegend,FALSE,AB_2734326,NA,NA
CD1c,Mimitou_2021,L161,331539,0160,A,BioLegend,FALSE,NA,NA,NA
CD1c,Qian_2020,L161,331539,0160,A,BioLegend,FALSE,NA,NA,NA
CD1c,Buus_2021,L161,331547,0160,C,BioLegend,FALSE,AB_2800871,NA,NA
CD1c,Liu_2021,L161,331547,0160,C,BioLegend,FALSE,AB_2800871,NA,NA
CD1c,Shangguan_2021,L161,331547,0160,C,BioLegend,FALSE,AB_2800871,NA,NA
CD1c,Stephenson_2021,L161,331547,0160,C,BioLegend,FALSE,NA,NA,NA
CD1c,Su_2020,L161,331547,0160,C,NA,FALSE,NA,NA,NA
CD1c,LeCoz_2021,L161,331547,0160,C,BioLegend,FALSE,NA,NA,NA
CD1c,Qi_2020,F10/21A3,940083,AHS0088,NA,BD Biosciences,FALSE,NA,NA,NA
CD1c,Mair_2020,F10/21A3,NA,AHS0088,NA,BD Biosciences,FALSE,NA,NA,NA
CD1C,Wu_2021_b,L161,331539,0160,A,BioLegend,FALSE,AB_2734326,NA,NA
CD1c (BDCA1),Arunachalam_2020,L161,331539,0160,A,BioLegend,FALSE,AB_2734326,NA,NA
CD1d,Hao_2021,51.1,350317,0164,A,BioLegend,FALSE,AB_2750370,NA,NA
CD1d,Wu_2021_b,51.1,350317,0164,A,BioLegend,FALSE,AB_2750370,NA,NA
CD1d,PomboAntunes_2021,51.1,350317,0164,A,BioLegend,FALSE,AB_2750370,NA,NA
CD1d,Mimitou_2021,51.1,350317,0164,A,BioLegend,FALSE,NA,NA,NA
CD1d,Qian_2020,51.1,350317,0164,A,BioLegend,FALSE,NA,NA,NA
CD1d,Liu_2021,51.1,350319,0164,C,BioLegend,FALSE,AB_2800934,NA,NA
CD1d,Shangguan_2021,51.1,350319,0164,C,BioLegend,FALSE,AB_2800934,NA,NA
CD1d,Stephenson_2021,51.1,350319,0164,C,BioLegend,FALSE,NA,NA,NA
CD1d,Su_2020,51.1,350319,0164,C,NA,FALSE,NA,NA,NA
CD1d,LeCoz_2021,51.1,350319,0164,C,BioLegend,FALSE,NA,NA,NA
CD1d,Kotliarov_2020,51.1,custom made (similar to 95043),0164,A,BioLegend,FALSE,NA,B267321,TRUE
CD2,Hao_2021,TS1/8,309229,0367,A,BioLegend,FALSE,AB_2783172,NA,NA
CD2,Witkowski_2020,TS1/8,309229,0367,A,BioLegend,FALSE,AB_2783172,B271801,NA
CD2,Wu_2021_b,TS1/8,309229,0367,A,BioLegend,FALSE,AB_2783172,NA,NA
CD2,PomboAntunes_2021,TS1/8,309229,0367,A,BioLegend,FALSE,AB_2783172,NA,NA
CD2,Mimitou_2021,TS1/8,309229,0367,A,BioLegend,FALSE,NA,NA,NA
CD2,Qian_2020,TS1/8,309229,0367,A,BioLegend,FALSE,NA,NA,NA
CD2,Buus_2021,TS1/8,309231,0367,C,BioLegend,FALSE,AB_2810464,NA,NA
CD2,Liu_2021,TS1/8,309231,0367,C,BioLegend,FALSE,AB_2810464,NA,NA
CD2,Shangguan_2021,TS1/8,309231,0367,C,BioLegend,FALSE,AB_2810464,NA,NA
CD2,Stephenson_2021,TS1/8,309231,0367,C,BioLegend,FALSE,NA,NA,NA
CD2,Su_2020,TS1/8,309231,0367,C,NA,FALSE,NA,NA,NA
CD2,LeCoz_2021,TS1/8,309231,0367,C,BioLegend,FALSE,NA,NA,NA
CD2,Kotliarov_2020,TS1/8,custom made (similar to 95309),0367,A,BioLegend,FALSE,NA,B267234,TRUE
CD2,Hao_2021,TS1/8,NA,NA,C,BioLegend,FALSE,NA,NA,NA
CD2,Mimitou_2019,TS1/8,NA,NA,NA,NA,FALSE,NA,NA,NA
CD2,Stoeckius_2017,RPA-2.10,NA,NA,NA,BioLegend,FALSE,NA,NA,NA
CD20,Arunachalam_2020,2H7,302359,0100,A,BioLegend,FALSE,AB_2749984,NA,NA
CD20,Cadot_2020,2H7,302359,0100,A,BioLegend,FALSE,AB_2749984,NA,NA
CD20,Hao_2021,2H7,302359,0100,A,BioLegend,FALSE,AB_2749984,NA,NA
CD20,Kotliarov_2020,2H7,302359,0100,A,BioLegend,FALSE,AB_2749984,B263619,FALSE
CD20,Witkowski_2020,2H7,302359,0100,A,BioLegend,FALSE,AB_2749984,B278747,NA
CD20,Wu_2021_b,2H7,302359,0100,A,BioLegend,FALSE,AB_2749984,NA,NA
CD20,PomboAntunes_2021,2H7,302359,0100,A,BioLegend,FALSE,AB_2749984,NA,NA
CD20,Mimitou_2021,2H7,302359,0100,A,BioLegend,FALSE,NA,NA,NA
CD20,Qian_2020,2H7,302359,0100,A,BioLegend,FALSE,NA,NA,NA
CD20,Liu_2021,2H7,302363,0100,C,BioLegend,FALSE,AB_2800743,NA,NA
CD20,Shangguan_2021,2H7,302363,0100,C,BioLegend,FALSE,AB_2800743,NA,NA
CD20,Stephenson_2021,2H7,302363,0100,C,BioLegend,FALSE,NA,NA,NA
CD20,Su_2020,2H7,302363,0100,C,NA,FALSE,NA,NA,NA
CD20,LeCoz_2021,2H7,302363,0100,C,BioLegend,FALSE,NA,NA,NA
CD20,Lawlor_2021,NA,NA,NA,NA,BioLegend,FALSE,NA,NA,NA
CD20,10x29May2019,NA,NA,NA,B,BioLegend,FALSE,NA,NA,NA
CD20,Trzupek_2020,2H7,NA,NA,NA,BD Biosciences,FALSE,NA,NA,NA
CD20,Trzupek_2020,2H7,NA,NA,NA,BD Biosciences,FALSE,NA,NA,NA
CD20,RinconArevalo_2021,2H7,NA,NA,C,BioLegend,FALSE,NA,NA,NA
CD200,Hao_2021,OX-104,NA,NA,A,BioLegend,FALSE,NA,NA,NA
CD200 (OX2),Mimitou_2021,OX-104,NA,0447,A,BioLegend,FALSE,NA,NA,NA
CD201,PomboAntunes_2021,RCR-401,351907,0069,A,BioLegend,FALSE,AB_2749978,NA,NA
CD201,Vanuytsel_2020,RCR-401,351907,0069,NA,BioLegend,FALSE,AB_2749978,NA,NA
CD201 (EPCR),Hao_2021,RCR-401,351907,0069,A,BioLegend,FALSE,AB_2749978,NA,NA
CD201 (EPCR),Mimitou_2021,RCR-401,351907,0069,A,BioLegend,FALSE,NA,NA,NA
CD201 (EPCR),Qian_2020,RCR-401,351907,0069,A,BioLegend,FALSE,NA,NA,NA
CD202b,PomboAntunes_2021,33.1 (Ab33),334213,0588,A,BioLegend,FALSE,AB_2810511,NA,NA
CD202b,Vanuytsel_2020,33.1 (Ab33),334213,0588,NA,BioLegend,FALSE,AB_2810511,NA,NA
CD202B,Frangieh_2021,33.1,NA,0588,NA,BioLegend,FALSE,NA,NA,NA
CD202b (Tie2/Tek),Hao_2021,33.1 (Ab33),334213,0588,A,BioLegend,FALSE,AB_2810511,NA,NA
CD202b (Tie2/Tek),Mimitou_2021,33.1 (Ab33),334213,0588,A,BioLegend,FALSE,NA,NA,NA
CD203c,Wu_2021_b,NP4D6,324627,0593,A,BioLegend,FALSE,AB_2800849,NA,NA
CD203c,PomboAntunes_2021,NP4D6,324627,0593,A,BioLegend,FALSE,AB_2800849,NA,NA
CD203c (E-NPP3),Hao_2021,NP4D6,324627,0593,A,BioLegend,FALSE,AB_2800849,NA,NA
CD203c (E-NPP3),Mimitou_2021,NP4D6,324627,0593,A,BioLegend,FALSE,NA,NA,NA
CD204,Hao_2021,7C9C20,371909,0399,A,BioLegend,FALSE,AB_2810584,NA,NA
CD204,PomboAntunes_2021,7C9C20,371909,0399,A,BioLegend,FALSE,AB_2810584,NA,NA
CD204,Mimitou_2021,7C9C20,371909,0399,A,BioLegend,FALSE,NA,NA,NA
CD204,Liu_2021,7C9C20,371911,0399,C,BioLegend,FALSE,NA,NA,NA
CD204,Su_2020,7C9C20,371911,0399,C,NA,FALSE,NA,NA,NA
CD204,Stephenson_2021,7C9C20,NA,NA,NA,BioLegend,FALSE,NA,NA,NA
CD205,Wu_2021_b,HD30,342211,0814,A,BioLegend,FALSE,AB_2800908,NA,NA
CD205,PomboAntunes_2021,HD30,342211,0814,A,BioLegend,FALSE,AB_2800908,NA,NA
CD205 (DEC-205),Hao_2021,HD30,342211,0814,A,BioLegend,FALSE,AB_2800908,NA,NA
CD205 (DEC-205),Mimitou_2021,HD30,342211,0814,A,BioLegend,FALSE,NA,NA,NA
CD206,Fernandez_2020,206,321112,NA,NA,BioLegend,FALSE,NA,NA,NA
CD206,Wu_2021_b,15-2,321143,0205,A,BioLegend,FALSE,AB_2750010,NA,NA
CD206,PomboAntunes_2021,15-2,321143,0205,A,BioLegend,FALSE,AB_2750010,NA,NA
CD206,Mair_2020,19.2,NA,AHS0072,NA,BD Biosciences,FALSE,NA,NA,NA
CD206 (MMR),Hao_2021,15-2,321143,0205,A,BioLegend,FALSE,AB_2750010,NA,NA
CD206 (MMR),Mimitou_2021,15-2,321143,0205,A,BioLegend,FALSE,NA,NA,NA
CD206 (MMR),Qian_2020,15-2,321143,0205,A,BioLegend,FALSE,NA,NA,NA
CD206 (MMR),Lee_2021,15-2,321147,0205,C,BioLegend,FALSE,AB_2814178,NA,NA
CD206 (MMR),Liu_2021,15-2,321147,0205,C,BioLegend,FALSE,AB_2814178,NA,NA
CD206 (MMR),Su_2020,15-2,321147,0205,C,NA,FALSE,NA,NA,NA
CD206 (MMR),Stephenson_2021,15-2,NA,NA,NA,BioLegend,FALSE,NA,NA,NA
CD207,Liu_2021,4C7,144207,0437,C,BioLegend,FALSE,AB_2832523,NA,NA
CD207,Su_2020,4C7,144207,0437,C,NA,FALSE,NA,NA,NA
CD207,PomboAntunes_2021,1E+03,352207,0403,A,BioLegend,FALSE,AB_2783248,NA,NA
CD207,PomboAntunes_2021,4C7,NA,0437,A,BioLegend,FALSE,N/A,NA,NA
CD207,PomboAntunes_2021,4C7,NA,0437,A,BioLegend,FALSE,N/A,NA,NA
CD207,Stephenson_2021,4C7,NA,NA,NA,BioLegend,FALSE,NA,NA,NA
CD207 (Langerin),Hao_2021,1000,352207,0403,A,BioLegend,FALSE,AB_2783248,NA,NA
CD207 (Langerin),Mimitou_2021,1000,352207,0403,A,BioLegend,FALSE,NA,NA,NA
CD209,PomboAntunes_2021,9E9A8,330119,0597,A,BioLegend,FALSE,AB_2783206,NA,NA
CD209 (DC-SIGN),Hao_2021,9E9A8,330119,0597,A,BioLegend,FALSE,AB_2783206,NA,NA
CD209 (DC-SIGN),Mimitou_2021,9E9A8,330119,0597,A,BioLegend,FALSE,NA,NA,NA
CD209 (DC-SIGN),Qian_2020,9E9A8,330119,0597,A,BioLegend,FALSE,NA,NA,NA
CD209 (DC-SIGN),Liu_2021,9E9A8,330121,0597,C,BioLegend,FALSE,AB_2819958,NA,NA
CD209 (DC-SIGN),Su_2020,9E9A8,330121,0597,C,NA,FALSE,NA,NA,NA
CD209 (DC-SIGN),Stephenson_2021,9E9A8,NA,NA,NA,BioLegend,FALSE,NA,NA,NA
CD21,Hao_2021,Bu32,354915,0181,A,BioLegend,FALSE,AB_2750006,NA,NA
CD21,Kotliarov_2020,Bu32,354915,0181,A,BioLegend,FALSE,AB_2750006,B263529,FALSE
CD21,Wu_2021_b,BU32,354915,0181,A,BioLegend,FALSE,AB_2750006,NA,NA
CD21,PomboAntunes_2021,Bu32,354915,0181,A,BioLegend,FALSE,AB_2750006,NA,NA
CD21,Mimitou_2021,Bu32,354915,0181,A,BioLegend,FALSE,NA,NA,NA
CD21,Qian_2020,Bu32,354915,0181,A,BioLegend,FALSE,NA,NA,NA
CD21,Liu_2021,Bu32,354923,0181,C,BioLegend,FALSE,AB_2800953,NA,NA
CD21,Stephenson_2021,Bu32,354923,0181,C,BioLegend,FALSE,NA,NA,NA
CD21,Su_2020,Bu32,354923,0181,C,NA,FALSE,NA,NA,NA
CD21,LeCoz_2021,Bu32,354923,0181,C,BioLegend,FALSE,NA,NA,NA
CD21,Lawlor_2021,NA,NA,NA,NA,BioLegend,FALSE,NA,NA,NA
CD218a,PomboAntunes_2021,H44,313815,0862,A,BioLegend,FALSE,AB_2810476,NA,NA
CD22,Hao_2021,S-HCL-1,363514,0393,A,BioLegend,FALSE,AB_2734404,NA,NA
CD22,Witkowski_2020,S-HCL-1,363514,0393,A,BioLegend,FALSE,AB_2734404,B261039,NA
CD22,Wu_2021_b,S-HCL-1,363514,0393,A,BioLegend,FALSE,AB_2734404,NA,NA
CD22,PomboAntunes_2021,S-HCL-1,363514,0393,A,BioLegend,FALSE,AB_2734404,NA,NA
CD22,Mimitou_2021,S-HCL-1,363514,0393,A,BioLegend,FALSE,NA,NA,NA
CD22,Qian_2020,S-HCL-1,363514,0393,A,BioLegend,FALSE,NA,NA,NA
CD22,Liu_2021,S-HCL-1,363516,0393,C,BioLegend,FALSE,AB_2801006,NA,NA
CD22,Stephenson_2021,S-HCL-1,363516,0393,C,BioLegend,FALSE,NA,NA,NA
CD22,Su_2020,S-HCL-1,363516,0393,C,NA,FALSE,NA,NA,NA
CD22,LeCoz_2021,S-HCL-1,363516,0393,C,BioLegend,FALSE,NA,NA,NA
CD22,Lawlor_2021,NA,NA,NA,NA,BioLegend,FALSE,NA,NA,NA
CD223,Kotliarov_2020,11C3C65,369333,0152,A,BioLegend,FALSE,AB_2749999,B263377,FALSE
CD223,Witkowski_2020,11C3C65,369333,0152,A,BioLegend,FALSE,AB_2749999,B272033,NA
CD223,PomboAntunes_2021,11C3C65,369333,0152,A,BioLegend,FALSE,AB_2749999,NA,NA
CD223,Poch_2021,11C3C65,369333,0152,NA,Biolegend,FALSE,AB_2749999,NA,NA
CD223,Buus_2021,11C3C65,369335,0152,C,BioLegend,FALSE,AB_2814327,NA,NA
CD223 (LAG-3),Hao_2021,11C3C65,369333,0152,A,BioLegend,FALSE,AB_2749999,NA,NA
CD223 (LAG-3),Mimitou_2021,11C3C65,369333,0152,A,BioLegend,FALSE,NA,NA,NA
CD223 (LAG-3),Qian_2020,11C3C65,369333,0152,A,BioLegend,FALSE,NA,NA,NA
CD223 (LAG-3),Liu_2021,11C3C65,369335,0152,C,BioLegend,FALSE,AB_2814327,NA,NA
CD223 (LAG-3),Stephenson_2021,11C3C65,369335,0152,C,BioLegend,FALSE,NA,NA,NA
CD223 (LAG-3),Su_2020,11C3C65,369335,0152,C,NA,FALSE,NA,NA,NA
CD223 (LAG-3),LeCoz_2021,11C3C65,369335,0152,C,BioLegend,FALSE,NA,NA,NA
CD223 (lag3),Mimitou_2019,11C3C65,NA,NA,NA,NA,FALSE,NA,NA,NA
CD224,Liu_2021,KF29,394307,1052,C,BioLegend,FALSE,AB_2820039,NA,NA
CD224,Stephenson_2021,KF29,394307,1052,C,BioLegend,FALSE,NA,NA,NA
CD224,Su_2020,KF29,394307,1052,C,NA,FALSE,NA,NA,NA
CD224,LeCoz_2021,KF29,394307,1052,C,BioLegend,FALSE,NA,NA,NA
CD226,PomboAntunes_2021,TX25,337111,0805,A,BioLegend,FALSE,AB_2800896,NA,NA
CD226,PomboAntunes_2021,11A8,338335,0368,A,BioLegend,FALSE,AB_2783220,NA,NA
CD226,Trzupek_2021,DX11,940075,NA,NA,BD Biosciences,FALSE,NA,NA,NA
CD226,Trzupek_2020,DX11,NA,NA,NA,BD Biosciences,FALSE,NA,NA,NA
CD226,Trzupek_2020,DX11,NA,NA,NA,BD Biosciences,FALSE,NA,NA,NA
CD226 (DNAM-1),Hao_2021,TX25,337111,0805,A,BioLegend,FALSE,AB_2800896,NA,NA
CD226 (DNAM-1),Mimitou_2021,TX25,337111,0805,A,BioLegend,FALSE,NA,NA,NA
CD226 (DNAM-1),Qian_2020,11A8,338335,0368,A,BioLegend,FALSE,NA,NA,NA
CD226 (DNAM-1),Liu_2021,11A8,338337,0368,C,BioLegend,FALSE,AB_2800899,NA,NA
CD226 (DNAM-1),Stephenson_2021,11A8,338337,0368,C,BioLegend,FALSE,NA,NA,NA
CD226 (DNAM-1),Su_2020,11A8,338337,0368,C,NA,FALSE,NA,NA,NA
CD226 (DNAM-1),LeCoz_2021,11A8,338337,0368,C,BioLegend,FALSE,NA,NA,NA
CD23,PomboAntunes_2021,EBVCS-5,338523,0897,A,BioLegend,FALSE,AB_2814235,NA,NA
CD23,Liu_2021,EBVCS-5,338525,0897,C,BioLegend,FALSE,AB_2814236,NA,NA
CD23,Stephenson_2021,EBVCS-5,338525,0897,C,BioLegend,FALSE,NA,NA,NA
CD23,Su_2020,EBVCS-5,338525,0897,C,NA,FALSE,NA,NA,NA
